channel,campaign,net_sales,orders,profit
Online,Organic,67839974.42,13559,22911390.35
Online,Retention,67242611.48,13711,22579284.05
Online,BackToOffice,66878680.38,13400,22548765.5
Online,Summer,66841306.05,13485,22409557.75
Online,Festive,66814228.98,13572,22507803.42
Online,NewYear,65064004.7,13318,21850681.35
Store,BackToOffice,44660025.37,9080,15108713.96
Store,Retention,44531445.53,9046,14973456.58
Store,Summer,44369818.61,9030,15034379.66
Store,Organic,44003705.93,9033,14923717.04
Store,Festive,43889159.3,8774,14647000.24
Store,NewYear,43645910.53,8943,14647440.35
Marketplace,Retention,19762494.29,3965,6639045.88
Marketplace,Organic,19623248.85,3941,6629107.71
Marketplace,BackToOffice,19428981.46,3943,6567909.1
Marketplace,Summer,19423532.11,3923,6433822.72
Marketplace,NewYear,19184329.87,3899,6442857.17
Marketplace,Festive,18928506.84,3906,6462258.25
Partner,Retention,18107567.12,3574,6065482.12
Partner,NewYear,18049115.78,3641,6052497.55
Partner,BackToOffice,17655579.64,3538,5994764.49
Partner,Summer,17587211.64,3582,5858914.56
Partner,Festive,17509569.0,3612,5897827.6
Partner,Organic,16870724.31,3525,5636425.38
