cohort_month,cohort_index,customers,cohort_size,retention_rate
2024-01,0,7400,7400,1.0
2024-01,1,2574,7400,0.3478
2024-01,2,2709,7400,0.3661
2024-01,3,2645,7400,0.3574
2024-01,4,2760,7400,0.373
2024-01,5,2691,7400,0.3636
2024-01,6,2751,7400,0.3718
2024-01,7,2783,7400,0.3761
2024-01,8,2643,7400,0.3572
2024-01,9,2708,7400,0.3659
2024-01,10,2607,7400,0.3523
2024-01,11,2654,7400,0.3586
2024-01,12,2729,7400,0.3688
2024-01,13,2496,7400,0.3373
2024-01,14,2731,7400,0.3691
2024-01,15,2643,7400,0.3572
2024-01,16,2760,7400,0.373
2024-01,17,2559,7400,0.3458
2024-02,0,4438,4438,1.0
2024-02,1,1670,4438,0.3763
2024-02,2,1612,4438,0.3632
2024-02,3,1614,4438,0.3637
2024-02,4,1584,4438,0.3569
2024-02,5,1609,4438,0.3626
2024-02,6,1636,4438,0.3686
2024-02,7,1654,4438,0.3727
2024-02,8,1567,4438,0.3531
2024-02,9,1605,4438,0.3616
2024-02,10,1619,4438,0.3648
2024-02,11,1647,4438,0.3711
2024-02,12,1484,4438,0.3344
2024-02,13,1587,4438,0.3576
2024-02,14,1636,4438,0.3686
2024-02,15,1617,4438,0.3644
2024-02,16,1569,4438,0.3535
2024-03,0,3069,3069,1.0
2024-03,1,1118,3069,0.3643
2024-03,2,1159,3069,0.3776
2024-03,3,1156,3069,0.3767
2024-03,4,1097,3069,0.3574
2024-03,5,1152,3069,0.3754
2024-03,6,1065,3069,0.347
2024-03,7,1103,3069,0.3594
2024-03,8,1067,3069,0.3477
2024-03,9,1122,3069,0.3656
2024-03,10,1126,3069,0.3669
2024-03,11,1034,3069,0.3369
2024-03,12,1094,3069,0.3565
2024-03,13,1094,3069,0.3565
2024-03,14,1125,3069,0.3666
2024-03,15,1079,3069,0.3516
2024-04,0,1851,1851,1.0
2024-04,1,694,1851,0.3749
2024-04,2,654,1851,0.3533
2024-04,3,674,1851,0.3641
2024-04,4,658,1851,0.3555
2024-04,5,675,1851,0.3647
2024-04,6,699,1851,0.3776
2024-04,7,663,1851,0.3582
2024-04,8,674,1851,0.3641
2024-04,9,676,1851,0.3652
2024-04,10,673,1851,0.3636
2024-04,11,652,1851,0.3522
2024-04,12,647,1851,0.3495
2024-04,13,698,1851,0.3771
2024-04,14,655,1851,0.3539
2024-05,0,1209,1209,1.0
2024-05,1,426,1209,0.3524
2024-05,2,453,1209,0.3747
2024-05,3,440,1209,0.3639
2024-05,4,442,1209,0.3656
2024-05,5,455,1209,0.3763
2024-05,6,422,1209,0.349
2024-05,7,472,1209,0.3904
2024-05,8,468,1209,0.3871
2024-05,9,407,1209,0.3366
2024-05,10,463,1209,0.383
2024-05,11,446,1209,0.3689
2024-05,12,455,1209,0.3763
2024-05,13,411,1209,0.34
2024-06,0,745,745,1.0
2024-06,1,268,745,0.3597
2024-06,2,270,745,0.3624
2024-06,3,258,745,0.3463
2024-06,4,267,745,0.3584
2024-06,5,261,745,0.3503
2024-06,6,310,745,0.4161
2024-06,7,258,745,0.3463
2024-06,8,253,745,0.3396
2024-06,9,270,745,0.3624
2024-06,10,276,745,0.3705
2024-06,11,293,745,0.3933
2024-06,12,270,745,0.3624
2024-07,0,482,482,1.0
2024-07,1,184,482,0.3817
2024-07,2,167,482,0.3465
2024-07,3,183,482,0.3797
2024-07,4,179,482,0.3714
2024-07,5,194,482,0.4025
2024-07,6,175,482,0.3631
2024-07,7,167,482,0.3465
2024-07,8,178,482,0.3693
2024-07,9,168,482,0.3485
2024-07,10,186,482,0.3859
2024-07,11,156,482,0.3237
2024-08,0,274,274,1.0
2024-08,1,100,274,0.365
