segment,region,net_sales,customers,profit
Consumer,Central,92817202.35,2084,31278556.26
Consumer,East,93981566.77,2108,31600788.41
Consumer,North,94996115.14,2155,31725824.1
Consumer,South,92668015.24,2122,31147969.46
Consumer,West,93096143.98,2089,31494869.79
Corporate,Central,37754365.52,853,12760792.91
Corporate,East,40132760.52,893,13445432.65
Corporate,North,40769108.48,914,13785708.7
Corporate,South,37705373.0,864,12726667.6
Corporate,West,38340797.31,861,13025015.6
Enterprise,Central,16652859.22,376,5607614.37
Enterprise,East,17799886.97,397,6020718.13
Enterprise,North,18636071.07,419,6226723.58
Enterprise,South,18886608.7,408,6339473.51
Enterprise,West,17348680.01,398,5828267.1
Home Office,Central,26078385.34,597,8719138.35
Home Office,East,28037314.89,625,9438651.91
Home Office,North,27171603.04,611,9125108.23
Home Office,South,28150523.65,629,9478239.93
Home Office,West,26888350.99,593,9047542.19
