month,net_sales,gross_sales,profit,orders,aov
2024-01,50257037.93,56057110.23,16908848.03,10235,4910.31
2024-02,48199901.34,53941963.82,16187139.56,9689,4974.7
2024-03,50123372.9,55991994.8,16871710.58,10299,4866.82
2024-04,49135531.69,54951369.14,16661107.78,9868,4979.28
2024-05,50895005.99,56859214.16,17097684.38,10266,4957.63
2024-06,48863461.51,54367611.74,16464706.84,9970,4901.05
2024-07,50112510.83,55977796.14,16739014.68,10155,4934.76
2024-08,50476251.54,56278163.91,16834970.78,10123,4986.29
2024-09,50237006.49,55968354.13,17002751.32,9890,5079.58
2024-10,49629740.26,55715061.54,16774194.52,10145,4892.04
2024-11,47859956.48,53629012.32,16259986.82,9748,4909.72
2024-12,49634830.33,55313489.84,16811638.57,10107,4910.94
2025-01,49721632.85,55457555.03,16746937.21,10181,4883.77
2025-02,45621467.22,51195570.33,15170855.09,9297,4907.12
2025-03,50010289.91,55911591.72,16752470.55,10102,4950.53
2025-04,49028370.66,54890741.91,16556222.34,9987,4909.22
2025-05,51071128.54,57014965.73,17107098.1,10315,4951.15
2025-06,47034235.72,52879776.92,15875765.63,9623,4887.69
