category,subcategory,product_id,net_sales,units,profit
Furniture,Desks,342,4272861.37,2219,1279195.8699999999
Office Supplies,Paper,367,4181500.0,2111,1385658.9
Furniture,Desks,408,4109624.65,2215,1612858.23
Office Supplies,Art,46,4083863.88,2077,1070223.72
Office Supplies,Storage,399,4083308.22,2149,1312344.09
Technology,Monitors,410,4076021.67,2196,1596200.22
Furniture,Bookcases,232,4029790.4,2078,588732.78
Accessories,Cables,94,3973851.48,2163,1077003.2
Technology,Printers,268,3966660.14,2213,1396702.49
Technology,Laptops,428,3958075.94,2153,1040144.6
Accessories,Bags,295,3932829.89,2111,1810724.02
Accessories,Cables,288,3890297.41,2005,615132.53
Accessories,Adapters,213,3885232.18,2095,1660555.8
Furniture,Bookcases,30,3874413.6,2075,1937526.72
Technology,Monitors,87,3854544.81,2112,1859349.31
Technology,Printers,449,3851077.68,2111,1565306.28
Technology,Monitors,275,3797970.46,2037,1768189.63
Furniture,Bookcases,161,3787244.59,2012,1458023.73
Office Supplies,Storage,192,3781735.42,2014,1761886.42
Office Supplies,Art,165,3780679.94,1916,769326.44
Office Supplies,Binders,119,3765734.61,2100,1200063.84
Technology,Phones,153,3758294.57,2083,1551072.92
Technology,Monitors,158,3749502.81,1983,1403188.14
Technology,Printers,403,3745636.7199999997,2044,1443442.33
Office Supplies,Storage,157,3718876.21,2087,1900539.69
Technology,Laptops,34,3714092.23,2037,1222779.0
Furniture,Tables,93,3708608.92,2107,1887025.33
Technology,Printers,154,3697878.91,2088,977722.96
Technology,Phones,259,3691510.63,2021,1703627.53
Technology,Monitors,178,3681678.34,1998,1723263.76
Technology,Laptops,64,3670566.33,1950,767437.57
Accessories,Adapters,339,3666949.81,2173,1824304.09
Office Supplies,Binders,308,3651470.39,2110,1310207.61
Technology,Monitors,392,3644222.73,1993,1613756.49
Accessories,Adapters,174,3642525.69,1959,890766.33
Office Supplies,Binders,112,3629137.84,1930,850943.99
Technology,Phones,450,3594518.54,2232,1820543.54
Technology,Printers,283,3589803.65,1906,1735298.21
Technology,Phones,221,3589213.27,1973,1548463.27
Office Supplies,Paper,318,3569885.5,2020,1256635.5
Furniture,Bookcases,128,3568690.9899999998,1950,1707524.02
Technology,Monitors,144,3564986.4899999998,1927,1307566.09
Office Supplies,Art,45,3563296.85,1815,785267.23
Office Supplies,Art,211,3551699.7,2001,987697.65
Technology,Monitors,393,3535231.86,2019,1046557.56
Office Supplies,Binders,53,3527361.35,1885,495567.29
Furniture,Chairs,91,3523560.07,1993,681186.41
Office Supplies,Art,235,3522185.81,1935,1284892.61
Technology,Printers,314,3518883.69,2145,1398112.17
Technology,Printers,383,3495944.21,1941,1525308.59
Furniture,Desks,375,3491561.07,1960,1182907.65
Accessories,Adapters,427,3486803.01,1982,1186208.74
Office Supplies,Paper,289,3476705.72,1952,1610772.06
Technology,Monitors,1,3468919.07,2020,1250497.6300000001
Furniture,Tables,73,3466198.44,2003,1046644.56
Technology,Printers,130,3463635.46,2004,1608666.96
Office Supplies,Paper,63,3455645.01,2055,1432407.51
Accessories,Headphones,281,3440719.77,2032,1582465.21
Technology,Phones,324,3435571.4499999997,1908,1734995.05
Furniture,Chairs,106,3418082.98,1903,1166553.7
Office Supplies,Paper,223,3407078.67,1947,1176204.56
Office Supplies,Paper,205,3391569.43,1797,1338454.53
Technology,Phones,299,3362710.13,1984,1604869.79
Technology,Phones,56,3350567.58,2154,1074026.45
Office Supplies,Storage,397,3328719.34,1780,807079.38
Technology,Phones,197,3315851.17,2148,971195.47
Technology,Monitors,199,3314099.1999999997,1810,1649588.9
Furniture,Chairs,218,3313421.53,2245,850326.03
Furniture,Desks,62,3311756.8,1970,1322896.84
Office Supplies,Art,271,3306317.37,1819,1097761.05
Furniture,Chairs,332,3297062.32,2071,1085626.92
Furniture,Chairs,196,3292683.52,1934,458929.57
Technology,Monitors,357,3268642.65,2009,1374374.49
Technology,Monitors,401,3263249.12,2188,874571.22
Office Supplies,Art,173,3248611.46,1866,750209.4
Office Supplies,Art,239,3245893.84,2020,1605549.4
Furniture,Bookcases,43,3243765.23,2076,849882.77
Office Supplies,Art,29,3240144.33,2064,1263834.83
Furniture,Desks,225,3237793.4,1951,1122738.3800000001
Accessories,Adapters,25,3236003.67,2079,787700.13
Office Supplies,Binders,358,3235357.22,1850,747084.81
Technology,Printers,57,3228756.83,1869,688806.53
Technology,Laptops,204,3205246.06,1984,397843.7
Technology,Laptops,387,3198195.0,1983,1346238.83
Furniture,Tables,347,3194435.7199999997,2127,1161218.72
Office Supplies,Storage,58,3193432.38,1914,1320369.93
Furniture,Bookcases,44,3189289.51,1823,1390781.63
Technology,Phones,442,3171172.61,1932,822913.4
