order_id,order_date,customer_id,product_id,quantity,discount,sales,city,segment,age,category,unit_price,month
1,2025-01-23,8406,165,7,0.05,1272.48,New York,Home Office,26,Office Supplies,191.35,2025-01
2,2024-10-10,35,9,5,0.15,4739.22,Boston,Home Office,38,Technology,1115.11,2024-10
3,2025-03-27,6579,96,1,0.05,814.41,New York,Consumer,39,Furniture,857.27,2025-03
4,2024-04-01,6295,95,6,0.1,3279.31,New York,Corporate,58,Technology,607.28,2024-04
5,2025-04-20,9245,38,3,0.0,2009.28,San Diego,Home Office,54,Furniture,669.76,2025-04
6,2024-03-02,9002,26,6,0.0,6865.98,New York,Consumer,45,Office Supplies,1144.33,2024-03
7,2024-03-25,1913,163,2,0.05,2096.57,New York,Consumer,19,Technology,1103.46,2024-03
8,2025-04-06,4422,27,1,0.0,571.25,Boston,Consumer,65,Technology,571.25,2025-04
9,2024-05-06,10842,80,4,0.05,168.07,Austin,Consumer,23,Office Supplies,44.23,2024-05
10,2024-01-22,5710,111,4,0.05,2501.81,San Diego,Corporate,52,Technology,658.37,2024-01
11,2024-11-28,3530,86,7,0.0,3136.42,New York,Consumer,40,Office Supplies,448.06,2024-11
12,2024-03-11,7158,112,1,0.0,110.64,San Diego,Consumer,50,Technology,110.64,2024-03
13,2024-03-11,3978,6,7,0.1,802.62,Boston,Corporate,47,Technology,127.4,2024-03
14,2024-03-27,6393,100,2,0.05,568.8,Chicago,Corporate,67,Furniture,299.37,2024-03
15,2025-06-21,6224,146,7,0.05,5724.05,Chicago,Corporate,48,Office Supplies,860.76,2025-06
16,2024-04-05,3693,92,5,0.1,1299.64,Chicago,Corporate,53,Furniture,288.81,2024-04
17,2024-02-20,10304,179,3,0.0,3256.38,New York,Consumer,67,Furniture,1085.46,2024-02
18,2024-12-25,9322,85,7,0.05,7782.96,San Diego,Corporate,55,Technology,1170.37,2024-12
19,2024-12-23,7835,56,3,0.1,1442.15,Boston,Corporate,38,Technology,534.13,2024-12
20,2024-12-23,7655,87,5,0.15,2082.71,New York,Consumer,28,Technology,490.05,2024-12
21,2024-10-18,2505,55,1,0.0,415.12,New York,Corporate,24,Furniture,415.12,2024-10
22,2024-08-23,8400,61,1,0.0,1017.48,New York,Corporate,60,Technology,1017.48,2024-08
23,2024-05-22,4852,82,3,0.0,3034.68,San Diego,Consumer,51,Furniture,1011.56,2024-05
24,2025-06-22,2879,47,2,0.0,745.08,Boston,Consumer,36,Furniture,372.54,2025-06
25,2025-04-09,9579,7,2,0.0,2274.82,New York,Consumer,53,Technology,1137.41,2025-04
26,2025-05-03,9309,48,3,0.05,1460.37,Seattle,Corporate,47,Technology,512.41,2025-05
27,2025-04-23,6320,6,5,0.0,637.0,Chicago,Home Office,30,Technology,127.4,2025-04
28,2025-02-20,748,164,1,0.05,1114.14,Chicago,Consumer,40,Technology,1172.78,2025-02
29,2024-03-23,4820,157,6,0.15,768.82,Boston,Consumer,38,Office Supplies,150.75,2024-03
30,2024-02-10,4060,49,6,0.0,654.18,Seattle,Home Office,32,Technology,109.03,2024-02
31,2024-08-17,5371,162,6,0.0,372.72,San Diego,Consumer,62,Technology,62.12,2024-08
32,2024-07-24,8807,68,2,0.0,1948.92,Seattle,Consumer,67,Technology,974.46,2024-07
33,2024-10-03,6243,68,7,0.15,5798.04,Boston,Consumer,30,Technology,974.46,2024-10
34,2024-04-24,6456,91,1,0.05,1102.04,Chicago,Home Office,31,Technology,1160.04,2024-04
35,2025-03-15,966,165,1,0.0,191.35,Seattle,Consumer,41,Office Supplies,191.35,2025-03
36,2024-10-06,6179,134,6,0.0,3775.8,San Diego,Consumer,66,Technology,629.3,2024-10
37,2025-02-02,7174,115,6,0.1,3763.96,Austin,Consumer,43,Technology,697.03,2025-02
38,2024-05-17,831,140,1,0.1,275.45,Chicago,Consumer,28,Furniture,306.06,2024-05
39,2024-05-22,4481,158,3,0.0,2085.18,Austin,Home Office,60,Technology,695.06,2024-05
40,2024-05-27,10463,130,3,0.0,2086.65,New York,Consumer,50,Technology,695.55,2024-05
41,2024-04-17,606,85,6,0.15,5968.89,Seattle,Consumer,28,Technology,1170.37,2024-04
42,2024-05-02,6745,55,4,0.1,1494.43,Boston,Corporate,51,Furniture,415.12,2024-05
43,2024-08-22,7004,84,5,0.0,2826.95,Seattle,Consumer,39,Technology,565.39,2024-08
44,2024-10-24,2473,30,1,0.05,273.88,Austin,Consumer,51,Office Supplies,288.3,2024-10
45,2025-02-28,6000,110,7,0.0,1194.9,New York,Corporate,31,Technology,170.7,2025-02
46,2024-10-11,7045,148,4,0.05,3877.52,Boston,Home Office,57,Office Supplies,1020.4,2024-10
47,2024-01-12,6837,6,5,0.1,573.3,San Diego,Home Office,23,Technology,127.4,2024-01
48,2024-11-16,10111,158,4,0.0,2780.24,Seattle,Corporate,32,Technology,695.06,2024-11
49,2024-01-01,3738,115,2,0.0,1394.06,Seattle,Consumer,65,Technology,697.03,2024-01
50,2024-04-15,5572,165,5,0.05,908.91,San Diego,Home Office,44,Office Supplies,191.35,2024-04
51,2024-08-02,6741,128,3,0.0,3242.13,New York,Home Office,21,Technology,1080.71,2024-08
52,2025-05-07,130,155,2,0.0,1594.82,Seattle,Consumer,56,Technology,797.41,2025-05
53,2024-08-25,5168,136,4,0.0,4420.28,Chicago,Home Office,23,Office Supplies,1105.07,2024-08
54,2025-03-11,8375,66,3,0.0,2298.39,Boston,Consumer,26,Office Supplies,766.13,2025-03
55,2025-01-18,7259,98,7,0.0,5795.72,New York,Consumer,44,Technology,827.96,2025-01
56,2024-06-14,6098,28,5,0.15,4015.27,Boston,Consumer,25,Office Supplies,944.77,2024-06
57,2025-01-29,6749,151,3,0.15,257.75,Austin,Consumer,65,Technology,101.08,2025-01
58,2025-01-04,9682,121,1,0.05,761.99,Boston,Consumer,30,Technology,802.09,2025-01
59,2025-05-02,10554,106,3,0.0,1491.06,Seattle,Home Office,62,Office Supplies,497.02,2025-05
60,2025-06-24,9887,117,1,0.0,773.46,Seattle,Home Office,40,Technology,773.46,2025-06
61,2025-03-02,6855,126,2,0.05,653.85,Boston,Home Office,28,Technology,344.13,2025-03
62,2024-08-05,5338,45,2,0.05,1538.43,Seattle,Consumer,34,Furniture,809.7,2024-08
63,2024-06-25,7977,111,5,0.0,3291.85,New York,Consumer,25,Technology,658.37,2024-06
64,2024-09-09,252,112,1,0.1,99.58,Austin,Consumer,44,Technology,110.64,2024-09
65,2024-03-20,1175,125,2,0.05,214.26,New York,Consumer,49,Furniture,112.77,2024-03
66,2024-01-10,2859,180,1,0.0,145.94,San Diego,Consumer,53,Office Supplies,145.94,2024-01
67,2025-04-04,2057,61,7,0.1,6410.12,San Diego,Consumer,35,Technology,1017.48,2025-04
