customer_id,region,city,segment,age,annual_income,joined_date
1,South,New York,Consumer,65,98700.0,2023-07-26
2,North,Dallas,Corporate,49,62881.0,2025-06-23
3,North,San Diego,Consumer,60,65041.0,2025-06-21
4,East,Seattle,Corporate,54,52437.0,2023-05-03
5,East,New York,Consumer,64,115595.0,2025-05-02
6,Central,Dallas,Consumer,61,43474.0,2024-11-22
7,West,Boston,Consumer,28,78286.0,2024-03-27
8,Central,Phoenix,Enterprise,45,25628.0,2024-12-05
9,East,San Diego,Corporate,58,73080.0,2024-09-05
10,East,Seattle,Consumer,20,93491.0,2025-05-31
11,South,Boston,Corporate,26,56494.0,2023-05-09
12,South,Denver,Consumer,69,115273.0,2022-04-09
13,East,Phoenix,Consumer,31,132252.0,2023-08-04
14,East,Boston,Enterprise,53,79366.0,2023-02-10
15,North,Boston,Consumer,62,97812.0,2023-09-15
16,East,Denver,Corporate,33,82711.0,2025-03-20
17,North,Phoenix,Home Office,30,85087.0,2025-05-18
18,Central,Boston,Home Office,50,103876.0,2024-05-13
19,West,San Diego,Home Office,57,48104.0,2024-03-22
20,South,Seattle,Consumer,66,58116.0,2022-12-31
21,West,San Diego,Corporate,69,47993.0,2022-01-20
22,Central,Phoenix,Corporate,60,78810.0,2023-05-13
23,South,Boston,Corporate,63,84175.0,2023-08-04
24,West,Dallas,Corporate,36,53738.0,2022-10-21
25,South,Austin,Consumer,22,96837.0,2024-10-12
26,North,Dallas,Corporate,23,107733.0,2022-08-02
27,West,Boston,Consumer,50,66222.0,2023-09-05
28,West,Dallas,Consumer,22,94582.0,2022-07-15
29,Central,San Diego,Corporate,32,71700.0,2023-03-20
30,Central,Chicago,Consumer,22,63185.0,2025-05-28
31,East,Denver,Consumer,27,95992.0,2024-05-03
32,East,Boston,Consumer,63,55740.0,2023-06-26
33,Central,Chicago,Consumer,61,65938.0,2022-10-08
34,East,Dallas,Enterprise,24,97015.0,2022-03-22
35,Central,Boston,Corporate,43,61045.0,2025-01-30
36,North,Boston,Consumer,46,69712.0,2023-09-20
37,Central,Chicago,Consumer,46,79625.0,2024-03-08
38,Central,Phoenix,Corporate,33,71972.0,2023-01-04
39,West,Chicago,Enterprise,59,94168.0,2022-03-13
40,North,New York,Consumer,66,63947.0,2022-09-28
41,West,Austin,Consumer,43,59148.0,2022-06-25
42,East,New York,Corporate,20,91998.0,2022-09-22
43,East,New York,Home Office,22,109729.0,2022-07-02
44,South,Dallas,Consumer,35,43642.0,2024-01-10
45,East,Chicago,Consumer,29,116376.0,2022-05-26
46,Central,Chicago,Consumer,38,92624.0,2024-01-25
47,North,Denver,Consumer,20,86011.0,2023-12-30
48,South,Atlanta,Home Office,66,82086.0,2025-02-08
49,East,Dallas,Consumer,59,80655.0,2023-09-08
50,South,San Diego,Corporate,18,77274.0,2022-05-21
51,East,Austin,Consumer,58,74763.0,2023-02-16
52,Central,Dallas,Consumer,35,57569.0,2023-09-26
53,South,Phoenix,Consumer,26,92110.0,2023-01-25
54,North,Denver,Consumer,36,128869.0,2023-01-06
55,South,Atlanta,Consumer,46,69689.0,2022-11-18
56,North,Denver,Home Office,26,86765.0,2023-09-13
57,Central,Boston,Consumer,58,78541.0,2025-02-23
58,North,Boston,Home Office,69,35150.0,2025-04-26
59,North,Austin,Consumer,40,74486.0,2024-06-26
60,West,Dallas,Corporate,49,83083.0,2025-03-29
61,South,New York,Consumer,33,56330.0,2025-06-26
62,West,Denver,Home Office,59,54217.0,2024-08-28
63,Central,Denver,Consumer,43,51743.0,2025-01-05
64,West,San Diego,Consumer,42,49321.0,2024-09-25
65,West,Austin,Corporate,37,33537.0,2023-08-15
66,West,Atlanta,Consumer,25,78102.0,2022-12-21
67,Central,New York,Consumer,43,42775.0,2025-04-17
68,South,Dallas,Consumer,58,65991.0,2023-10-24
69,South,Dallas,Consumer,26,79487.0,2022-05-25
70,Central,Seattle,Consumer,51,69047.0,2024-10-24
71,Central,Denver,Consumer,71,52138.0,2022-03-24
72,West,Seattle,Home Office,50,30503.0,2024-09-05
73,Central,San Diego,Corporate,47,55530.0,2022-12-29
74,South,Boston,Consumer,45,58636.0,2024-01-03
75,East,Dallas,Corporate,29,70614.0,2024-03-10
76,East,Austin,Consumer,38,81511.0,2024-12-23
77,West,Boston,Consumer,22,97395.0,2025-05-03
78,Central,Seattle,Corporate,26,56792.0,2024-12-24
79,North,San Diego,Enterprise,47,116578.0,2023-08-14
80,North,San Diego,Corporate,19,54234.0,2023-04-19
81,North,Austin,Consumer,42,88372.0,2023-09-10
82,North,Boston,Consumer,64,49561.0,2023-08-07
83,East,San Diego,Consumer,64,53112.0,2023-03-10
84,East,Denver,Home Office,64,61149.0,2023-01-20
85,South,Phoenix,Consumer,47,88455.0,2023-03-17
86,East,Seattle,Corporate,43,58096.0,2024-11-01
87,North,Austin,Enterprise,39,80419.0,2023-01-29
88,South,Dallas,Consumer,33,64899.0,2023-09-23
