order_id,order_ts,customer_id,product_id,quantity,discount,gross_sales,net_sales,cost,profit,channel,payment_method,campaign,order_status
1,2025-04-29 10:00:00,11706,41,7,0.2,6057.03,4845.62,4602.64,242.98,Online,Bank Transfer,Retention,completed
2,2025-03-16 01:00:00,4277,62,5,0.1,9460.0,8514.0,5283.9,3230.1,Partner,Card,Organic,completed
3,2024-04-12 09:00:00,10153,175,9,0.1,2832.75,2549.48,1897.29,652.19,Store,Card,Festive,completed
4,2024-02-24 07:00:00,8874,93,2,0.1,3938.52,3544.67,1793.78,1750.89,Marketplace,Card,Festive,completed
5,2024-11-11 14:00:00,5151,27,5,0.05,6665.7,6332.42,5228.9,1103.52,Store,Wallet,Retention,completed
6,2024-07-07 14:00:00,21,115,6,0.0,8716.98,8716.98,4886.04,3830.94,Store,Wallet,Retention,completed
7,2024-06-28 21:00:00,16229,379,9,0.05,15111.09,14355.54,9357.57,4997.97,Store,UPI,Organic,completed
8,2024-02-13 10:00:00,14933,198,2,0.05,202.8,192.66,108.82,83.84,Online,Wallet,BackToOffice,completed
9,2024-04-23 00:00:00,3794,291,1,0.1,617.15,555.43,323.71,231.72,Online,UPI,BackToOffice,completed
10,2025-02-02 01:00:00,12646,110,9,0.15,14650.29,12452.75,7458.93,4993.82,Online,Card,BackToOffice,completed
11,2024-01-08 23:00:00,7322,143,6,0.05,4160.64,3952.61,2282.52,1670.09,Partner,UPI,Organic,completed
12,2024-03-26 02:00:00,1828,415,7,0.05,3477.88,3303.99,1641.85,1662.14,Online,Card,NewYear,completed
13,2024-03-04 00:00:00,8661,158,7,0.05,14856.24,14113.43,8703.87,5409.56,Online,Wallet,BackToOffice,completed
14,2024-09-27 08:00:00,8418,133,6,0.1,10314.3,9282.87,5792.28,3490.59,Marketplace,Card,BackToOffice,completed
15,2024-02-17 14:00:00,335,302,1,0.05,1643.27,1561.11,944.95,616.16,Store,Card,NewYear,completed
16,2024-09-17 07:00:00,8070,61,4,0.0,3583.68,3583.68,2780.2,803.48,Online,Card,Summer,completed
17,2025-05-03 21:00:00,6971,9,5,0.15,6282.25,5339.91,4345.75,994.16,Online,UPI,BackToOffice,returned
