product_id,category,subcategory,unit_price,cost
1,Technology,Monitors,1949.05,1157.84
2,Office Supplies,Paper,1112.75,720.26
3,Furniture,Chairs,1075.44,707.12
4,Office Supplies,Paper,796.51,517.99
5,Furniture,Chairs,462.5,227.01
6,Furniture,Chairs,233.22,112.4
7,Office Supplies,Art,943.26,712.94
8,Office Supplies,Art,188.96,151.79
9,Technology,Printers,1256.45,869.15
10,Technology,Phones,940.52,738.02
11,Technology,Phones,1764.65,1267.49
12,Office Supplies,Art,1483.22,1192.46
13,Furniture,Chairs,1484.74,1165.19
14,Office Supplies,Storage,327.66,268.56
15,Office Supplies,Binders,1223.98,937.25
16,Technology,Monitors,1334.74,1070.13
17,Office Supplies,Paper,835.22,468.96
18,Technology,Printers,452.36,290.95
19,Technology,Monitors,1173.88,734.77
20,Furniture,Chairs,1281.76,738.9
21,Accessories,Cables,889.44,627.08
22,Office Supplies,Binders,715.56,459.27
23,Technology,Laptops,1433.67,814.65
24,Furniture,Chairs,897.92,577.18
25,Accessories,Adapters,1727.85,1223.54
26,Technology,Monitors,392.08,205.91
27,Accessories,Bags,1333.14,1045.78
28,Technology,Phones,254.01,173.85
29,Office Supplies,Art,1784.81,1010.9
30,Furniture,Bookcases,2098.02,978.72
31,Office Supplies,Storage,256.03,149.63
32,Office Supplies,Art,1852.32,975.09
33,Technology,Laptops,1454.41,723.93
34,Technology,Laptops,2037.24,1270.43
35,Technology,Phones,1036.22,602.45
36,Accessories,Headphones,1651.55,783.6
37,Technology,Monitors,1028.51,750.03
38,Office Supplies,Binders,1793.75,1174.26
39,Accessories,Adapters,23.87,12.75
40,Furniture,Tables,1339.59,729.71
41,Technology,Laptops,865.29,657.52
42,Technology,Printers,178.23,90.06
43,Furniture,Bookcases,1746.26,1197.54
44,Furniture,Bookcases,1955.12,1025.96
45,Office Supplies,Art,2161.08,1575.74
46,Office Supplies,Art,2165.3,1492.64
47,Technology,Phones,640.24,424.39
48,Furniture,Desks,668.76,428.35
49,Technology,Printers,1377.92,1017.9
50,Technology,Monitors,1372.8,949.68
51,Technology,Printers,1397.14,732.51
52,Office Supplies,Binders,1342.77,930.63
53,Office Supplies,Binders,2139.61,1724.57
54,Technology,Printers,224.34,103.68
55,Furniture,Tables,266.2,132.88
56,Technology,Phones,1745.36,1103.51
57,Technology,Printers,1928.71,1410.3
58,Office Supplies,Storage,1859.62,1015.21
59,Accessories,Bags,890.84,440.22
60,Technology,Printers,1227.06,633.98
61,Office Supplies,Binders,895.92,695.05
62,Furniture,Desks,1892.0,1056.78
63,Office Supplies,Paper,1874.96,1018.75
64,Technology,Laptops,2095.79,1547.51
65,Technology,Phones,884.09,407.18
66,Technology,Phones,102.08,63.27
67,Office Supplies,Binders,697.21,398.52
68,Office Supplies,Paper,546.73,264.36
69,Office Supplies,Binders,1020.32,812.77
70,Office Supplies,Art,1422.58,1084.86
71,Office Supplies,Binders,177.53,89.45
72,Technology,Printers,1314.3,953.77
73,Furniture,Tables,1948.89,1268.11
74,Office Supplies,Paper,913.21,580.38
75,Accessories,Adapters,1231.94,991.89
76,Office Supplies,Storage,1516.61,1096.78
77,Accessories,Bags,248.01,168.45
78,Technology,Phones,1205.83,915.59
79,Technology,Phones,595.43,449.22
80,Office Supplies,Binders,367.15,260.73
81,Accessories,Bags,1513.07,693.96
82,Furniture,Desks,629.6,382.67
83,Furniture,Chairs,135.05,99.45
84,Office Supplies,Binders,253.17,139.67
85,Technology,Monitors,1051.9,574.71
86,Office Supplies,Art,311.39,190.71
87,Technology,Monitors,1994.59,961.54
88,Office Supplies,Art,1685.19,972.58
89,Office Supplies,Art,1267.26,886.34
90,Furniture,Chairs,1677.23,1184.8
91,Furniture,Chairs,1969.79,1485.82
92,Office Supplies,Storage,38.66,27.93
93,Furniture,Tables,1969.26,896.89
94,Accessories,Cables,2056.38,1400.12
95,Office Supplies,Art,713.6,323.12
96,Accessories,Headphones,823.96,442.73
